Name NL;Name FR;Name DE;X;Y;NIS
Aalst;Aalst;Aalst;4,0394;50,9386;41002
Aalter;Aalter;Aalter;3,4444;51,0873;44084
Aarschot;Aarschot;Aarschot;4,836;50,9854;24001
Aartselaar;Aartselaar;Aartselaar;4,3875;51,1348;11001
Affligem;Affligem;Affligem;4,1099;50,8962;23105
Aiseau-Presles;Aiseau-Presles;Aiseau-Presles;4,5711;50,4165;52074
Alken;Alken;Alken;5,3058;50,8753;73001
Alveringem;Alveringem;Alveringem;2,7073;51,012;38002
Amay;Amay;Amay;5,3247;50,5508;61003
Amblève;Amblève;Amel;6,1684;50,3541;63001
Andenne;Andenne;Andenne;5,0957;50,4893;92003
Anderlecht;Anderlecht;Anderlecht;4,329;50,8391;21001
Anderlues;Anderlues;Anderlues;4,2707;50,4068;56001
Anhée;Anhée;Anhée;4,8771;50,3098;91005
Ans;Ans;Ans;5,5074;50,6675;62003
Anthisnes;Anthisnes;Anthisnes;5,5216;50,4815;61079
Antoing;Antoing;Antoing;3,4489;50,5657;57003
Antwerpen;Antwerpen;Antwerpen;4,3992;51,2213;11002
Anzegem;Anzegem;Anzegem;3,4781;50,8322;34002
Ardooie;Ardooie;Ardooie;3,1969;50,9796;37020
Arendonk;Arendonk;Arendonk;5,0867;51,3206;13001
Arlon;Arlon;Arlon;5,8168;49,6837;81001
As;As;As;5,5888;51,0073;71002
Asse;Asse;Asse;4,2006;50,9102;23002
Assenede;Assenede;Assenede;3,7535;51,2262;43002
Assesse;Assesse;Assesse;5,0205;50,3719;92006
Ath;Ath;Ath;3,7771;50,6306;51004
Attert;Attert;Attert;5,7841;49,7518;81003
Aubange;Aubange;Aubange;5,8304;49,5613;81004
Aubel;Aubel;Aubel;5,8587;50,7055;63003
Avelgem;Avelgem;Avelgem;3,4442;50,7759;34003
Awans;Awans;Awans;5,4635;50,6666;62006
Aywaille;Aywaille;Aywaille;5,6772;50,4758;62009
Baarle-Hertog;Baarle-Hertog;Baarle-Hertog;4,9271;51,44;13002
Baelen;Baelen;Baelen;5,9712;50,6299;63004
Balen;Balen;Balen;5,1752;51,172;13003
Bassenge;Bassenge;Bassenge;5,6104;50,7591;62011
Bastogne;Bastogne;Bastogne;5,7177;50,0023;82003
Beaumont;Beaumont;Beaumont;4,235;50,2371;56005
Beauraing;Beauraing;Beauraing;4,9564;50,1103;91013
Beauvechain;Beauvechain;Beauvechain;4,7725;50,781;25005
